GEOID20,precinct,block_percent
410510043001006,3102,0.9858047673762377
410510071003044,3102,1.0000000000017242
410510071003003,3102,1.0000000000006721
410510071002003,3102,1.0000000000004305
410510071002020,3102,0.9996795136360217
410510071003031,3102,0.9999999999925205
410510071003042,3102,1.0000000000911333
410510071003048,3102,0.9999999999975246
410510071003027,3102,1
410510071002014,3102,0.9826496710737741
410510071002018,3102,0.9998477063894918
410510071002024,3102,0.999999999999949
410510071002006,3102,0.7671210792041313
410510071002004,3102,0.964818236891812
410510071002033,3102,0.5537958359100782
410510071003004,3102,1
410510071003006,3102,1
410510071003029,3102,0.9999999999985496
410510071003007,3102,1.0000000000035498
410510071003010,3102,1.0000000000036056
410510071003019,3102,1
410510071003025,3102,0.7107040101397146
410510071003021,3102,0.9999999999844437
410510070022029,3102,1
410510070023015,3102,0.9824761255708837
